goos: darwin
goarch: arm64
pkg: github.com/orneryd/nornicdb/pkg/observability
cpu: Apple M1 Max
BenchmarkObserve_HotAuth/auth_attempts_inc-10         	164516460	         6.988 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_inc-10         	173659831	         6.930 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_inc-10         	173336907	         6.924 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_with_label_inc-10         	27818103	        43.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_with_label_inc-10         	27795793	        43.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_with_label_inc-10         	27283010	        43.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_message_duration_bound-10          	47671305	        25.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_message_duration_bound-10          	47808446	        25.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_message_duration_bound-10          	47006977	        25.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_messages_total_bound-10            	173608347	         6.942 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_messages_total_bound-10            	173458542	         7.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_messages_total_bound-10            	172020691	         6.951 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_session_duration_bound-10          	46861881	        25.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_session_duration_bound-10          	45734829	        25.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_session_duration_bound-10          	46943818	        25.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_packstream_decode_errors_bound-10  	173398167	         6.974 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_packstream_decode_errors_bound-10  	173242251	         6.925 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotBolt/bolt_packstream_decode_errors_bound-10  	172686436	         7.015 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCache/cache_hits_bound-10                    	173013850	         6.954 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCache/cache_hits_bound-10                    	171627894	         7.016 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCache/cache_hits_bound-10                    	173050278	         6.934 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCache/cache_evictions_bound-10               	173506528	         6.969 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCache/cache_evictions_bound-10               	172595128	         6.981 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCache/cache_evictions_bound-10               	172436173	         7.023 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCypher/cypher_query_duration_bound_read-10   	45993972	        25.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCypher/cypher_query_duration_bound_read-10   	47366551	        25.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCypher/cypher_query_duration_bound_read-10   	47033216	        25.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCypher/cypher_query_duration_bound_write_tenant-10         	46643150	        25.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotCypher/cypher_query_duration_bound_write_tenant-10         	46667487	        25.47 ns/op	       0 B/op	       0 allocs/op
