goos: darwin
goarch: arm64
pkg: github.com/orneryd/nornicdb/pkg/observability
cpu: Apple M1 Max
BenchmarkObserve_HotAuth/auth_attempts_inc-10         	169283288	         6.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_inc-10         	172642711	         6.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_inc-10         	172250565	         7.012 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_with_label_inc-10         	27929086	        43.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_with_label_inc-10         	27665625	        43.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotAuth/auth_attempts_with_label_inc-10         	27765699	        43.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_lag_bytes_set-10     	42314296	        28.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_lag_bytes_set-10     	42668119	        28.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_lag_bytes_set-10     	43042250	        27.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_apply_duration_bound-10         	46891561	        25.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_apply_duration_bound-10         	45757790	        25.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_apply_duration_bound-10         	46245076	        25.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_role_set-10                     	583339698	         2.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_role_set-10                     	581947267	         2.062 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_role_set-10                     	581115795	         2.069 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_leader_changes_inc-10           	171699723	         6.970 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_leader_changes_inc-10           	172537762	         6.969 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_leader_changes_inc-10           	171602298	         6.945 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/orneryd/nornicdb/pkg/observability	27.129s
